title,rating,director
Picnic at Hanging Rock,7,Peter Weir
David Lynch: The Art Life,6,Olivia Neergaard-Holm
David Lynch: The Art Life,6,Jon Nguyen
David Lynch: The Art Life,6,Rick Barnes
Baby Driver,5,Edgar Wright
Thelma & Louise,7,Ridley Scott
The Big Short,7,Adam McKay
The Hidden Fortress,8,Akira Kurosawa
Last Year at Marienbad,8,Alain Resnais
Babette's Feast,8,Gabriel Axel
The Salt of the Earth,7,Wim Wenders
The Salt of the Earth,7,Juliano Ribeiro Salgado
Belle de Jour,8,Luis Buñuel
The Reflecting Skin,7,Philip Ridley
Ferris Bueller's Day Off,6,John Hughes
Wrong Move,7,Wim Wenders
Dial M for Murder,7,Alfred Hitchcock
Welcome to the Dollhouse,7,Todd Solondz
For a Few Dollars More,8,Sergio Leone
McCabe & Mrs. Miller,8,Robert Altman
Repulsion,8,Roman Polanski
Dersu Uzala,9,Akira Kurosawa
Wiener-Dog,6,Todd Solondz
The Man Without a Past,8,Aki Kaurismäki
"Steamboat Bill, Jr.",7,Buster Keaton
"Steamboat Bill, Jr.",7,Charles Reisner
Safety Last!,8,Fred C. Newmeyer
Safety Last!,8,Sam Taylor
The Grandmother,7,David Lynch
Kings of the Road,8,Wim Wenders
The Magnificent Ambersons,6,Orson Welles
Prick Up Your Ears,8,Stephen Frears
The American Friend,7,Wim Wenders
His Girl Friday,8,Howard Hawks
The General,9,Buster Keaton
The General,9,Clyde Bruckman
THX 1138,7,George Lucas
The Fits,7,Anna Rose Holmer
Carol,8,Todd Haynes
Duel,8,Steven Spielberg
Moonlight,7,Barry Jenkins
Louie Bluie,8,Terry Zwigoff
Trees Lounge,8,Steve Buscemi
Crumb,8,Terry Zwigoff
Airplane!,8,Jerry Zucker
Airplane!,8,Jim Abrahams
Airplane!,8,David Zucker
Koyaanisqatsi,8,Godfrey Reggio
Pastoral: To Die in the Country,8,Shūji Terayama
The Virgin Spring,8,Ingmar Bergman
Kwaidan,8,Masaki Kobayashi
All Tomorrow's Parties,6,Jonathan Caouette
Unforgiven,8,Clint Eastwood
Sixteen Candles,6,John Hughes
The Death of Stalin,7,Armando Iannucci
Bonnie and Clyde,8,Arthur Penn
Heart of Glass,6,Werner Herzog
Lolita,6,Stanley Kubrick
My Life as a Zucchini,7,Claude Barras
An American Werewolf in London,7,John Landis
The Handmaiden,8,Park Chan-wook
The Princess Bride,7,Rob Reiner
The Cabinet of Dr. Caligari,6,Robert Wiene
In Cold Blood,8,Richard Brooks
3 Women,7,Robert Altman
Sympathy for Mr. Vengeance,7,Park Chan-wook
Drugstore Cowboy,6,Gus Van Sant
The Story of Film: An Odyssey,8,Mark Cousins
The Red Turtle,7,Michael Dudok de Wit
Late Spring,8,Yasujirō Ozu
Man with a Movie Camera,8,Dziga Vertov
Raise the Red Lantern,8,Zhang Yimou
The Lovers on the Bridge,7,Leos Carax
Sunrise: A Song of Two Humans,8,F.W. Murnau
Mindhorn,6,Sean Foley
Late Autumn,8,Yasujirō Ozu
Stalker,9,Andrei Tarkovsky
Ju Dou,8,Zhang Yimou
Ju Dou,8,Yang Fengliang
Samurai Rebellion,8,Masaki Kobayashi
Elle,7,Paul Verhoeven
Going Clear: Scientology and the Prison of Belief,7,Alex Gibney
To Have and Have Not,7,Howard Hawks
The Firemen's Ball,8,Miloš Forman
A Bucket of Blood,8,Roger Corman
Sansho the Bailiff,9,Kenji Mizoguchi
Ivan's Childhood,8,Andrei Tarkovsky
Humanity and Paper Balloons,7,Sadao Yamanaka
The Sword of Doom,7,Kihachi Okamoto
The Tenant,7,Roman Polanski
This Is Spinal Tap,8,Rob Reiner
The Holy Mountain,8,Alejandro Jodorowsky
The Celebration,8,Thomas Vinterberg
The Man Who Sleeps,7,Bernard Queysanne
The Wages of Fear,8,Henri-Georges Clouzot
The Night of the Hunter,8,Charles Laughton
When a Woman Ascends the Stairs,8,Mikio Naruse
The Woman in the Window,7,Fritz Lang
The Treasure of the Sierra Madre,9,John Huston
The Player,8,Robert Altman
Rio Bravo,8,Howard Hawks
The Son,9,Luc Dardenne
The Son,9,Jean-Pierre Dardenne
In the Mood for Love,8,Wong Kar-wai
Pierrot le Fou,6,Jean-Luc Godard
The Burmese Harp,9,Kon Ichikawa
Nights of Cabiria,8,Federico Fellini
The Apartment,8,Billy Wilder
Pickpocket,8,Robert Bresson
Bring Me the Head of Alfredo Garcia,8,Sam Peckinpah
The Edge of the World,7,Michael Powell
My Darling Clementine,7,John Ford
That Obscure Object of Desire,8,Luis Buñuel
L.A. Confidential,7,Curtis Hanson
The Seventh Seal,8,Ingmar Bergman
The Gold Rush,7,Charlie Chaplin
Key Largo,7,John Huston
Mildred Pierce,7,Michael Curtiz
The Kid with a Bike,8,Luc Dardenne
The Kid with a Bike,8,Jean-Pierre Dardenne
Closely Watched Trains,8,Jiří Menzel
La Ronde,8,Max Ophüls
Best in Show,7,Christopher Guest
Walkabout,7,Nicolas Roeg
Once Upon a Time in America,8,Sergio Leone
The Music Room,8,Satyajit Ray
Diabolique,7,Henri-Georges Clouzot
Drifting Clouds,8,Aki Kaurismäki
The Getaway,7,Sam Peckinpah
The Earrings of Madame de...,8,Max Ophüls
Werckmeister Harmonies,7,Béla Tarr
Werckmeister Harmonies,7,Ágnes Hranitzky
The Bird with the Crystal Plumage,7,Dario Argento
The Freshman,7,Fred C. Newmeyer
The Freshman,7,Sam Taylor
Magnolia,9,Paul Thomas Anderson
Amarcord,7,Federico Fellini
Kiss Kiss Bang Bang,6,Shane Black
Songs from the Second Floor,6,Roy Andersson
An Autumn Afternoon,8,Yasujirō Ozu
American Graffiti,7,George Lucas
Waiting for Guffman,8,Christopher Guest
Certified Copy,8,Abbas Kiarostami
The Turin Horse,7,Béla Tarr
The Turin Horse,7,Ágnes Hranitzky
The Woman Next Door,7,François Truffaut
Band of Outsiders,7,Jean-Luc Godard
Johnny Guitar,7,Nicholas Ray
The White Ribbon,8,Michael Haneke
The Ballad of Cable Hogue,7,Sam Peckinpah
Life Is Sweet,8,Mike Leigh
Enemy,7,Denis Villeneuve
Stray Dog,7,Akira Kurosawa
Cries and Whispers,8,Ingmar Bergman
Once Upon a Time in the West,10,Sergio Leone
Prince of Darkness,7,John Carpenter
Fantastic Planet,8,René Laloux
Alice Doesn't Live Here Anymore,8,Martin Scorsese
The Wolf of Wall Street,8,Martin Scorsese
Winter Light,8,Ingmar Bergman
Yi Yi,8,Edward Yang
Lone Wolf and Cub: Baby Cart at the River Styx,8,Kenji Misumi
The Cranes Are Flying,8,Mikhail Kalatozov
Mishima: A Life in Four Chapters,7,Paul Schrader
Fanny and Alexander,8,Ingmar Bergman
Lone Wolf and Cub: Sword of Vengeance,8,Kenji Misumi
Lone Wolf and Cub: Baby Cart to Hades,8,Kenji Misumi
Rififi,8,Jules Dassin
Lone Wolf and Cub: White Heaven in Hell,7,Yoshiyuki Kuroda
Lone Wolf and Cub: Baby Cart in Peril,8,Buichi Saito
Beau Travail,8,Claire Denis
The Silence,7,Ingmar Bergman
Lone Wolf and Cub: Baby Cart in the Land of Demons,7,Kenji Misumi
Through a Glass Darkly,8,Ingmar Bergman
I Confess,7,Alfred Hitchcock
Village of the Damned,6,Wolf Rilla
Day for Night,8,François Truffaut
Hiroshima Mon Amour,7,Alain Resnais
The Umbrellas of Cherbourg,7,Jacques Demy
Jaws,8,Steven Spielberg
Irma Vep,7,Olivier Assayas
Blind Chance,8,Krzysztof Kieślowski
I Am Cuba,8,Mikhail Kalatozov
The Big Heat,8,Fritz Lang
The Life of Oharu,8,Kenji Mizoguchi
A Nightmare on Elm Street,6,Wes Craven
The Marriage of Maria Braun,7,Rainer Werner Fassbinder
"Welcome, or No Trespassing",7,Elem Klimov
The Blues Brothers,7,John Landis
The Killing of a Sacred Deer,8,Yorgos Lanthimos
Ashes and Diamonds,8,Andrzej Wajda
Straw Dogs,7,Sam Peckinpah
House,7,Nobuhiko Ōbayashi
The Bad Sleep Well,8,Akira Kurosawa
Le Bonheur,7,Agnès Varda
Five Easy Pieces,8,Bob Rafelson
The Ascent,8,Larisa Shepitko
Blazing Saddles,7,Mel Brooks
Au Revoir les Enfants,8,Louis Malle
Barry Lyndon,8,Stanley Kubrick
The Phantom of Liberty,7,Luis Buñuel
Elevator to the Gallows,7,Louis Malle
Bottle Rocket,7,Wes Anderson
Train to Busan,7,Yeon Sang-ho
A Fish Called Wanda,7,Charles Crichton
Caché,8,Michael Haneke
Burden of Dreams,7,Les Blank
Burden of Dreams,7,Maureen Gosling
The Prestige,5,Christopher Nolan
The Green Ray,8,Éric Rohmer
Into the Inferno,7,Werner Herzog
Suspicion,6,Alfred Hitchcock
Performance,7,Nicolas Roeg
Performance,7,Donald Cammell
Nocturnal Animals,7,Tom Ford
"Duck, You Sucker",8,Sergio Leone
Daisies,7,Věra Chytilová
Kuroneko,8,Kaneto Shindō
Memento,8,Christopher Nolan
Le Cercle Rouge,8,Jean-Pierre Melville
Andrei Rublev,9,Andrei Tarkovsky
Tropical Malady,7,Apichatpong Weerasethakul
Panic in the Streets,7,Elia Kazan
Pulp Fiction,8,Quentin Tarantino
The Warriors,7,Walter Hill
Red Desert,7,Michelangelo Antonioni
The Cameraman,8,Buster Keaton
The Cameraman,8,Edward Sedgwick
Only Angels Have Wings,8,Howard Hawks
Scum,7,Alan Clarke
The Shooting,6,Monte Hellman
Dead Man's Shoes,7,Shane Meadows
Source Code,7,Duncan Jones
Pauline at the Beach,8,Éric Rohmer
Julieta,7,Pedro Almodóvar
Vengeance Is Mine,7,Shōhei Imamura
Smiles of a Summer Night,8,Ingmar Bergman
Phantom Thread,8,Paul Thomas Anderson
Get Out,7,Jordan Peele
Hot Fuzz,7,Edgar Wright
Memories of Underdevelopment,8,Tomás Gutiérrez Alea
The Thin Red Line,8,Terrence Malick
Heat,7,Michael Mann
The Old Dark House,6,James Whale
Vagabond,7,Agnès Varda
God's Angry Man,6,Werner Herzog
Mother,7,Bong Joon-ho
Army of Shadows,8,Jean-Pierre Melville
Young Mr. Lincoln,7,John Ford
Django,8,Sergio Corbucci
Medium Cool,8,Haskell Wexler
Ace in the Hole,8,Billy Wilder
Cross of Iron,7,Sam Peckinpah
Nanook of the North,7,Robert J. Flaherty
Whisky Galore!,8,Alexander Mackendrick
The Color of Pomegranates,6,Sergei Parajanov
Bringing Out the Dead,7,Martin Scorsese
High Noon,6,Fred Zinnemann
Trans-Europ-Express,7,Alain Robbe-Grillet
La Dolce Vita,8,Federico Fellini
Blow Out,8,Brian De Palma
The Human Condition I: No Greater Love,8,Masaki Kobayashi
The Asphalt Jungle,8,John Huston
The Party,6,Sally Potter
Eden and After,6,Alain Robbe-Grillet
Loving Vincent,6,Dorota Kobiela
Loving Vincent,6,Hugh Welchman
Tetsuo: The Iron Man,7,Shinya Tsukamoto
Blue Collar,8,Paul Schrader
Kes,8,Ken Loach
Eyes Wide Shut,5,Stanley Kubrick
Casque d'Or,8,Jacques Becker
The Commissar,7,Aleksandr Askoldov
Marketa Lazarová,8,František Vláčil
Tyrannosaur,7,Paddy Considine
Fruit of Paradise,7,Věra Chytilová
The Goalie's Anxiety at the Penalty Kick,7,Wim Wenders
The Conformist,8,Bernardo Bertolucci
The Human Condition II: Road to Eternity,8,Masaki Kobayashi
First Reformed,8,Paul Schrader
Twelve Monkeys,7,Terry Gilliam
Christine,7,John Carpenter
The Phantom Carriage,8,Victor Sjöström
Detour,7,Edgar G. Ulmer
The Human Condition III: A Soldier's Prayer,8,Masaki Kobayashi
Sweet Smell of Success,8,Alexander Mackendrick
Hellraiser,6,Clive Barker
Mikey and Nicky,7,Elaine May
The Battle of Algiers,8,Gillo Pontecorvo
Monsieur Verdoux,7,Charlie Chaplin
Boyz n the Hood,7,John Singleton
My Dinner with Andre,7,Louis Malle
Encounters at the End of the World,8,Werner Herzog
Snowpiercer,6,Bong Joon-ho
The Navigator,8,Buster Keaton
The Navigator,8,Donald Crisp
Anvil! The Story of Anvil,8,Sacha Gervasi
Uncle Boonmee Who Can Recall His Past Lives,8,Apichatpong Weerasethakul
Opening Night,8,John Cassavetes
Floating Weeds,8,Yasujirō Ozu
The Blue Angel,7,Josef von Sternberg
The Great Silence,8,Sergio Corbucci
Lupin the Third: The Castle of Cagliostro,6,Hayao Miyazaki
Ip Man,8,Wilson Yip
Syndromes and a Century,8,Apichatpong Weerasethakul
School on Fire,6,Ringo Lam
Hard Boiled,8,John Woo
Missing,8,Costa-Gavras
The Terminator,7,James Cameron
The Honeymoon Killers,7,Leonard Kastle
The Honeymoon Killers,7,Donald Volkman
The Proposition,8,John Hillcoat
Godzilla,7,Ishirō Honda
Billy Liar,8,John Schlesinger
True Grit,6,Joel Coen
True Grit,6,Ethan Coen
The Taking of Pelham One Two Three,9,Joseph Sargent
The Return,8,Andrey Zvyagintsev
L'Eclisse,7,Michelangelo Antonioni
The Last Waltz,8,Martin Scorsese
Obsession,6,Brian De Palma
Nostalgia,7,Andrei Tarkovsky
My Night at Maud's,8,Éric Rohmer
Midnight Cowboy,7,John Schlesinger
The Addiction,7,Abel Ferrara
Heaven Knows What,7,Josh Safdie
Heaven Knows What,7,Benny Safdie
In the Soup,7,Alexandre Rockwell
Witness for the Prosecution,7,Billy Wilder
The Last Detail,7,Hal Ashby
The Devils,8,Ken Russell
Wildlife,7,Paul Dano
Speedy,8,Ted Wilde
Ms .45,8,Abel Ferrara
The Kid Brother,8,Ted Wilde
The Kid Brother,8,J.A. Howe
Planet of the Apes,7,Franklin J. Schaffner
The Killer,8,John Woo
Good Time,8,Josh Safdie
Good Time,8,Benny Safdie
The Blackout,7,Abel Ferrara
RoboCop,7,Paul Verhoeven
Stray Dogs,7,Tsai Ming-liang
Kiki's Delivery Service,7,Hayao Miyazaki
Leaving Las Vegas,7,Mike Figgis
A Ghost Story,8,David Lowery
Chungking Express,8,Wong Kar-wai
Columbus,7,Kogonada
The Servant,7,Joseph Losey
Somers Town,7,Shane Meadows
Midnight in Paris,7,Woody Allen
mother!,7,Darren Aronofsky
The Edge,7,Barney Douglas
Radio Days,7,Woody Allen
Le Trou,9,Jacques Becker
Bait,7,Mark Jenkin
La Chinoise,8,Jean-Luc Godard
He Walked by Night,7,Anthony Mann
He Walked by Night,7,Alfred L. Werker
Us,6,Jordan Peele
Weekend,8,Jean-Luc Godard
To Live and Die in L.A.,7,William Friedkin
The Ballad of Narayama,7,Shōhei Imamura
Top Secret!,8,Jerry Zucker
Top Secret!,8,Jim Abrahams
Top Secret!,8,David Zucker
The King of Marvin Gardens,6,Bob Rafelson
"Electra, My Love",6,Miklós Jancsó
Kind Hearts and Coronets,7,Robert Hamer
Stan & Ollie,6,Jon S. Baird
Eureka,8,Shinji Aoyama
Deliverance,8,John Boorman
A Man Escaped,9,Robert Bresson
Audition,8,Takashi Miike
Listen Up Philip,6,Alex Ross Perry
Teddy Bomb,6,Justin Decloux
The Match Factory Girl,8,Aki Kaurismäki
The Naked Gun: From the Files of Police Squad!,7,David Zucker
The Big Gundown,8,Sergio Sollima
Equinox Flower,8,Yasujirō Ozu
My Twentieth Century,7,Ildikó Enyedi
Diamonds of the Night,7,Jan Němec
Drunken Master,8,Yuen Woo-ping
Face to Face,8,Sergio Sollima
Bullet in the Head,8,John Woo
The Stuff,5,Larry Cohen
High Hopes,7,Mike Leigh
Sonatine,7,Takeshi Kitano
Vampyr,7,Carl Theodor Dreyer
Impossible Horror,6,Justin Decloux
The Shop on Main Street,8,Elmar Klos
The Shop on Main Street,8,Ján Kadár
The Day Shall Come,7,Chris Morris
Burning,8,Lee Chang-dong
Tokyo Fist,7,Shinya Tsukamoto
The Fallen Idol,7,Carol Reed
Mother Joan of the Angels,8,Jerzy Kawalerowicz
Atlantics,7,Mati Diop
Walker,7,Alex Cox
Maborosi,8,Hirokazu Kore-eda
I Lost My Body,7,Jérémy Clapin
Don't Let the Riverbeast Get You!,7,Charles Roxburgh
Cameraman: The Life and Work of Jack Cardiff,7,Craig McCall
The Driller Killer,6,Abel Ferrara
Ip Man 2,7,Wilson Yip
Mighty Aphrodite,7,Woody Allen
Dirty Harry,7,Don Siegel
Zazie dans le Métro,7,Louis Malle
The Funeral,7,Abel Ferrara
"Texas, Adios",7,Ferdinando Baldi
The Killing of a Chinese Bookie,7,John Cassavetes
Japón,8,Carlos Reygadas
Showgirls,6,Paul Verhoeven
The Limits of Control,6,Jim Jarmusch
Day of Anger,7,Tonino Valerii
The New World,9,Terrence Malick
Tepepa,7,Giulio Petroni
Happy as Lazzaro,8,Alice Rohrwacher
The Grapes of Death,7,Jean Rollin
The Florida Project,8,Sean Baker
Make Way for Tomorrow,7,Leo McCarey
Aquarius,7,Kleber Mendonça Filho
Man on Wire,7,James Marsh
Death Rides a Horse,7,Giulio Petroni
Fallen Angels,7,Wong Kar-wai
Damnation,6,Béla Tarr
Dawn of the Dead,8,George A. Romero
Duck Soup,7,Leo McCarey
Nazarin,7,Luis Buñuel
Mandy,8,Panos Cosmatos
The Wind Will Carry Us,8,Abbas Kiarostami
Shoplifters,8,Hirokazu Kore-eda
The Last of England,7,Derek Jarman
Uncut Gems,9,Josh Safdie
Uncut Gems,9,Benny Safdie
The Round-Up,7,Miklós Jancsó
Birds of Passage,8,Ciro Guerra
Birds of Passage,8,Cristina Gallego
The Lighthouse,8,Robert Eggers
Parasite,8,Bong Joon-ho
Dolls,8,Takeshi Kitano
Castle in the Sky,7,Hayao Miyazaki
Duel to the Death,7,Ching Siu-Tung
Kikujiro,7,Takeshi Kitano
Cemetery of Splendor,7,Apichatpong Weerasethakul
Witchfinder General,7,Michael Reeves
Police Story 2,7,Jackie Chan
Crimes of Passion,7,Ken Russell
Princess Mononoke,8,Hayao Miyazaki
My Own Private Idaho,7,Gus Van Sant
What Ever Happened to Baby Jane?,7,Robert Aldrich
The Watermelon Woman,7,Cheryl Dunye
Portrait of a Lady on Fire,8,Céline Sciamma
City of the Living Dead,6,Lucio Fulci
Monos,7,Alejandro Landes
Kaili Blues,8,Bi Gan
Sorry to Bother You,7,Boots Riley
"Our Voice of Earth, Memory and Future",7,Marta Rodríguez
"Our Voice of Earth, Memory and Future",7,Jorge Silva
Tomboy,8,Céline Sciamma
Paprika,7,Satoshi Kon
Ernest & Celestine,7,Stéphane Aubier
Ernest & Celestine,7,Vincent Patar
Ernest & Celestine,7,Benjamin Renner
The Long Good Friday,8,John Mackenzie
Cure,8,Kiyoshi Kurosawa
King of New York,7,Abel Ferrara
Gun Crazy,8,Joseph H. Lewis
Eastern Condors,7,Sammo Hung
Alphaville,6,Jean-Luc Godard
Beetlejuice,6,Tim Burton
Taxi,7,Jafar Panahi
The 8 Diagram Pole Fighter,8,Liu Chia-Liang
The Irishman,8,Martin Scorsese
Silence,6,Martin Scorsese
The Beyond,6,Lucio Fulci
Sisters,6,Brian De Palma
Dragon Inn,8,King Hu
Cape Fear,5,Martin Scorsese
The Big Combo,8,Joseph H. Lewis
A. K.,6,Chris Marker
The Decline of Western Civilization,8,Penelope Spheeris
Night Moves,7,Kelly Reichardt
Invasion of the Body Snatchers,8,Philip Kaufman
The Far Country,7,Anthony Mann
Sans Soleil,8,Chris Marker
La Strada,8,Federico Fellini
Water Lilies,7,Céline Sciamma
November,6,Rainer Sarnet
Killer Joe,6,William Friedkin
The Assassin,6,Hou Hsiao-hsien
Once Upon a Time in Anatolia,8,Nuri Bilge Ceylan
La Bête Humaine,7,Jean Renoir
My Name Is Nobody,7,Tonino Valerii
Wendy and Lucy,7,Kelly Reichardt
Pulse,7,Kiyoshi Kurosawa
Once Upon a Time… in Hollywood,8,Quentin Tarantino
Diary of a Country Priest,6,Robert Bresson
The Past,8,Asghar Farhadi
Tristana,7,Luis Buñuel
The Running Man,6,Paul Michael Glaser
Ronin,6,John Frankenheimer
I Live in Fear,6,Akira Kurosawa
Our Little Sister,7,Hirokazu Kore-eda
Bob & Carol & Ted & Alice,8,Paul Mazursky
Let the Sunshine In,6,Claire Denis
Mr. Klein,8,Joseph Losey
Passion,6,Brian De Palma
"Black God, White Devil",6,Glauber Rocha
The Decline of Western Civilization Part II: The Metal Years,7,Penelope Spheeris
Drug War,7,Johnnie To
The Farewell,7,Lulu Wang
Shadow,7,Zhang Yimou
Vitalina Varela,7,Pedro Costa
Fist of Fury,6,Lo Wei
Far from Men,7,David Oelhoffen
Faces Places,7,Agnès Varda
Faces Places,7,JR
Hoop Dreams,8,Steve James
Hero,7,Zhang Yimou
The Emigrants,8,Jan Troell
Dogville,8,Lars von Trier
The Villainess,7,Jung Byung-gil
Day of the Dead,7,George A. Romero
Pontypool,7,Bruce McDonald
The Raid,8,Gareth Evans
The Decline of Western Civilization Part III,8,Penelope Spheeris
Cutter's Way,8,Ivan Passer
Pain and Glory,7,Pedro Almodóvar
Leave No Trace,7,Debra Granik
Animal Crackers,7,Victor Heerman
The Raid 2,8,Gareth Evans
The Bigamist,7,Ida Lupino
The New Land,8,Jan Troell
The Westerner,7,William Wyler
La Ceremonie,7,Claude Chabrol
The Hitch-Hiker,7,Ida Lupino
Nymphomaniac: Vol. I,7,Lars von Trier
Martin,6,George A. Romero
A Chinese Ghost Story,6,Ching Siu-Tung
Come Drink with Me,7,King Hu
Hereditary,5,Ari Aster
Nymphomaniac: Vol. II,6,Lars von Trier
Our Daily Bread,8,King Vidor
The Crime of Monsieur Lange,6,Jean Renoir
Spring Breakers,7,Harmony Korine
City on Fire,7,Ringo Lam
Dancer in the Dark,7,Lars von Trier
Wheel of Time,7,Werner Herzog
Pit Stop,7,Jack Hill
Starship Troopers,8,Paul Verhoeven
Female Prisoner #701: Scorpion,8,Shunya Ito
Le Havre,7,Aki Kaurismäki
She's Gotta Have It,7,Spike Lee
Pickup on South Street,8,Samuel Fuller
The Cremator,7,Juraj Herz
Boy Meets Girl,7,Leos Carax
Minnie and Moskowitz,7,John Cassavetes
Enter the Void,7,Gaspar Noé
Once Upon a Time in China,7,Tsui Hark
Blissfully Yours,8,Apichatpong Weerasethakul
Winchester '73,7,Anthony Mann
Total Recall,7,Paul Verhoeven
Killer Constable,6,Kuei Chih-Hung
Kids Return,7,Takeshi Kitano
A Prophet,7,Jacques Audiard
Violent Cop,7,Takeshi Kitano
Lights in the Dusk,7,Aki Kaurismäki
Gran Torino,6,Clint Eastwood
Touchez Pas au Grisbi,7,Jacques Becker
A Touch of Zen,8,King Hu
After Life,8,Hirokazu Kore-eda
The Killers,7,Robert Siodmak
A Short Film About Love,8,Krzysztof Kieślowski
Shinjuku Triad Society,6,Takashi Miike
The Masque of the Red Death,7,Roger Corman
Terrorizers,8,Edward Yang
Pola X,7,Leos Carax
Metropolitan,8,Whit Stillman
The Immortal Story,7,Orson Welles
Dressed to Kill,7,Brian De Palma
A Snake of June,7,Shinya Tsukamoto
All About My Mother,7,Pedro Almodóvar
Long Day's Journey Into Night,8,Bi Gan
Shaolin Soccer,7,Stephen Chow
Million Dollar Baby,6,Clint Eastwood
Lifeboat,7,Alfred Hitchcock
Return to the 36th Chamber,7,Liu Chia-Liang
Red Sun,7,Terence Young
Dirty Ho,7,Liu Chia-Liang
I'm Thinking of Ending Things,8,Charlie Kaufman
Reminiscences of a Journey to Lithuania,7,Jonas Mekas
The Beach Bum,7,Harmony Korine
On Dangerous Ground,7,Nicholas Ray
On Dangerous Ground,7,Ida Lupino
Nobody Knows,8,Hirokazu Kore-eda
Cockfighter,7,Monte Hellman
Scenes from a Marriage,8,Ingmar Bergman
Heroes of the East,8,Liu Chia-Liang
The Dance of Reality,8,Alejandro Jodorowsky
Phoenix,7,Christian Petzold
The Fabulous Baron Munchausen,8,Karel Zeman
The Border,7,Tony Richardson
Endless Poetry,7,Alejandro Jodorowsky
Freaky Farley,6,Charles Roxburgh
Thief,8,Michael Mann
Challenge of the Masters,7,Liu Chia-Liang
Manhunter,8,Michael Mann
The Wonders,7,Alice Rohrwacher
Shoulder Arms,7,Charlie Chaplin
Lucky,7,John Carroll Lynch
Army of Darkness,7,Sam Raimi
The Aviator's Wife,8,Éric Rohmer
Soldier of Orange,7,Paul Verhoeven
Samsara,8,Ron Fricke
Calm with Horses,7,Nick Rowland
Ringu,6,Hideo Nakata
Hour of the Wolf,7,Ingmar Bergman
Santa Sangre,7,Alejandro Jodorowsky
One Week,8,Buster Keaton
One Week,8,Edward F. Cline
The 'Burbs,6,Joe Dante
Femme Fatale,7,Brian De Palma
HyperNormalisation,7,Adam Curtis
The Hills Have Eyes,6,Wes Craven
Zigeunerweisen,7,Seijun Suzuki
All That Heaven Allows,7,Douglas Sirk
Gaslight,7,George Cukor
Full Moon in Paris,7,Éric Rohmer
"You, the Living",6,Roy Andersson
White Material,7,Claire Denis
Underground,8,Emir Kusturica
In a Lonely Place,8,Nicholas Ray
Boyfriends and Girlfriends,8,Éric Rohmer
Irreversible,7,Gaspar Noé
The Trial,7,Orson Welles
In the Heat of the Night,7,Norman Jewison
The Unknown Girl,7,Luc Dardenne
The Unknown Girl,7,Jean-Pierre Dardenne
Where the Sidewalk Ends,7,Otto Preminger
The Mercenary,7,Sergio Corbucci
The Assassination of Jesse James by the Coward Robert Ford,7,Andrew Dominik
Barbara,7,Christian Petzold
Four Adventures of Reinette and Mirabelle,7,Éric Rohmer
You Only Live Once,7,Fritz Lang
A Scene at the Sea,7,Takeshi Kitano
Tokyo Twilight,8,Yasujirō Ozu
The Woman Who Ran,7,Hong Sang-soo
Man of the West,7,Anthony Mann
A Simple Plan,8,Sam Raimi
"Merry Christmas, Mr. Lawrence",7,Nagisa Ōshima
Romance,5,Catherine Breillat
Stray Cat Rock: Delinquent Girl Boss,6,Yasuharu Hasebe
Cruising,7,William Friedkin
About Endlessness,6,Roy Andersson
Stalag 17,7,Billy Wilder
"Goodbye, Dragon Inn",8,Tsai Ming-liang
One Deadly Summer,7,Jean Becker
The Exorcist III,7,William Peter Blatty
In the Realm of the Senses,7,Nagisa Ōshima
La Grande Bouffe,7,Marco Ferreri
Lady Snowblood,7,Toshiya Fujita
And God Said to Cain,7,Antonio Margheriti
One-Eyed Jacks,7,Marlon Brando
The Return of Ringo,6,Duccio Tessari
Ride Lonesome,7,Budd Boetticher
Election,7,Johnnie To
Seconds,8,John Frankenheimer
