title,rating,director
Singin' in the Rain,8,Stanley Donen
Singin' in the Rain,8,Gene Kelly
The Double Life of Véronique,7,Krzysztof Kieślowski
Fish Tank,7,Andrea Arnold
"Ivan the Terrible, Part I",7,Sergei Eisenstein
A Fistful of Dollars,8,Sergio Leone
The Breakfast Club,7,John Hughes
"Ivan the Terrible, Part II: The Boyars' Plot",6,Sergei Eisenstein
Brighton Rock,6,John Boulting
Bullitt,7,Peter Yates
Zelig,7,Woody Allen
Porco Rosso,7,Hayao Miyazaki
Dunkirk,6,Christopher Nolan
Kagemusha,8,Akira Kurosawa
The Big Sleep,7,Howard Hawks
Sunset Boulevard,8,Billy Wilder
City Lights,10,Charlie Chaplin
Red Road,7,Andrea Arnold
Best of Enemies,7,Morgan Neville
Best of Enemies,7,Robert Gordon
The Devil's Backbone,7,Guillermo del Toro
8½,8,Federico Fellini
The Lives of Others,8,Florian Henckel von Donnersmarck
Nosferatu,8,F.W. Murnau
Do the Right Thing,8,Spike Lee
Big Trouble in Little China,7,John Carpenter
Peeping Tom,8,Michael Powell
Kill List,7,Ben Wheatley
Cave of Forgotten Dreams,7,Werner Herzog
The Girl with All the Gifts,6,Colm McCarthy
The Diving Bell and the Butterfly,8,Julian Schnabel
Carrie,8,Brian De Palma
The Ninth Configuration,8,William Peter Blatty
Broken Flowers,8,Jim Jarmusch
Hunt for the Wilderpeople,7,Taika Waititi
Knife in the Water,8,Roman Polanski
Berberian Sound Studio,7,Peter Strickland
Cool Hand Luke,8,Stuart Rosenberg
All the President's Men,8,Alan J. Pakula
When Marnie Was There,7,Hiromasa Yonebayashi
A Day in the Country,7,Jean Renoir
Me and Earl and the Dying Girl,6,Alfonso Gomez-Rejon
"I, Daniel Blake",8,Ken Loach
"I, Daniel Blake",8,Laura Obiols
Land of Silence and Darkness,8,Werner Herzog
Orpheus,8,Jean Cocteau
L'Avventura,7,Michelangelo Antonioni
Cobra Verde,6,Werner Herzog
Naked,9,Mike Leigh
The Last Picture Show,8,Peter Bogdanovich
A Pigeon Sat on a Branch Reflecting on Existence,5,Roy Andersson
Anomalisa,8,Charlie Kaufman
Anomalisa,8,Duke Johnson
Rams,7,Grímur Hákonarson
"Hail, Caesar!",6,Joel Coen
"Hail, Caesar!",6,Ethan Coen
Alice in the Cities,8,Wim Wenders
The French Connection,8,William Friedkin
The Dead Zone,8,David Cronenberg
Still Alice,5,Richard Glatzer
Still Alice,5,Wash Westmoreland
The Passenger,8,Michelangelo Antonioni
GoodFellas,10,Martin Scorsese
The Cabin in the Woods,5,Drew Goddard
Burn After Reading,6,Ethan Coen
Burn After Reading,6,Joel Coen
North by Northwest,8,Alfred Hitchcock
Being There,9,Hal Ashby
We Need to Talk About Kevin,7,Lynne Ramsay
Paper Moon,8,Peter Bogdanovich
Paper Moon,8,The Directors Company
Wadjda,7,Haifaa al-Mansour
Misery,6,Rob Reiner
Dead Ringers,8,David Cronenberg
Heathers,7,Michael Lehmann
The Vanishing,8,George Sluizer
Somewhere,5,Sofia Coppola
Still Life,6,Uberto Pasolini
The Godfather: Part III,5,Francis Ford Coppola
Cobain: Montage of Heck,7,Brett Morgen
Rain Man,6,Barry Levinson
What We Do in the Shadows,6,Taika Waititi
What We Do in the Shadows,6,Jemaine Clement
Pride,7,Matthew Warchus
Adaptation.,8,Spike Jonze
A Separation,8,Asghar Farhadi
The Kids Are All Right,6,Lisa Cholodenko
Nirvana: Live At Reading,8,Director not specified
Inland Empire,7,David Lynch
Mary and Max,8,Adam Elliot
A Cock and Bull Story,7,Michael Winterbottom
No Manifesto: A Film About Manic Street Preachers,7,Director not specified
Days of Heaven,8,Terrence Malick
Black Swan,7,Darren Aronofsky
The Departed,7,Martin Scorsese
Dig!,8,Ondi Timoner
Grizzly Man,9,Werner Herzog
Snatch,6,Guy Ritchie
The Grand Budapest Hotel,8,Wes Anderson
Calvary,7,John Michael McDonagh
Blow,6,Ted Demme
Gone Girl,6,David Fincher
Before Midnight,7,Richard Linklater
Maps to the Stars,6,David Cronenberg
Belle,7,Amma Asante
Ocean's Eleven,6,Steven Soderbergh
We Are the Best!,8,Lukas Moodysson
Beasts of the Southern Wild,7,Benh Zeitlin
Blue Ruin,7,Jeremy Saulnier
The Selfish Giant,7,Clio Barnard
The Girl with the Dragon Tattoo,6,Niels Arden Oplev
The Babadook,8,Jennifer Kent
La Haine,8,Mathieu Kassovitz
Let the Right One In,8,Tomas Alfredson
Shutter Island,7,Martin Scorsese
Frances Ha,7,Noah Baumbach
Se7en,7,David Fincher
The Usual Suspects,6,Bryan Singer
District 9,6,Neill Blomkamp
Reservoir Dogs,8,Quentin Tarantino
Barton Fink,9,Joel Coen
Bad Lieutenant,6,Abel Ferrara
American Beauty,7,Sam Mendes
Wild at Heart,7,David Lynch
Up,7,Pete Docter
Up,7,Bob Peterson
Miller's Crossing,7,Joel Coen
Naked Lunch,6,David Cronenberg
The Wackness,6,Jonathan Levine
Groundhog Day,8,Harold Ramis
A Serious Man,7,Joel Coen
A Serious Man,7,Ethan Coen
Before Sunrise,9,Richard Linklater
Slacker,7,Richard Linklater
